epoch,train_loss,valid_loss,learning_rate,time_taken
1,48.183510634524765,36.99676498773588,0.001,167.0162832999995
2,39.83376221238089,37.70348487272787,0.001,166.68749449999996
3,35.6471264321942,32.367675264868005,0.001,166.63743930000055
4,33.16085012648716,32.38646714321788,0.001,165.67819439999948
5,30.478108927238086,30.095345086048976,0.001,166.1184618999996
6,27.339205676464996,26.16072816306163,0.001,167.7275893999995
7,25.409831576258682,21.20743982173438,0.001,166.4803275000013
8,24.78519638589591,20.235665198577173,0.001,166.857183600001
9,23.358776593651655,18.942540404651755,0.001,167.92380269999921
10,22.524730621881723,26.43644017400714,0.001,165.53596459999972
11,22.857564749156147,19.278165139480635,0.001,165.2472533
12,21.743868973432495,18.191327509332876,0.001,165.39469390000158
13,21.76894118377,17.703423961953924,0.001,165.73521939999955
14,20.887930191400624,17.648274068087485,0.001,165.51866979999977
15,20.811100400774933,21.659408101235428,0.001,166.22323730000062
16,19.950447909053693,16.400181435688022,0.001,165.70499720000043
17,20.640416909840482,17.146387105047875,0.001,166.0832807000006
18,19.66460498719176,19.2982920303639,0.001,165.3932635000001
19,19.89927700120063,18.190557671604875,0.001,165.87876929999948
20,19.726272785072485,19.980724233095764,0.001,165.24032999999872
21,19.687722674480156,19.822002724488424,0.001,165.31492330000037
22,19.092950722353518,15.992911274430837,0.001,165.60713919999944
23,18.81448854927189,15.766609160511566,0.001,165.53830259999995
24,19.079890776961303,17.009860340861483,0.001,167.10860839999987
25,18.93583468991863,15.564472888681674,0.001,166.6061032000016
26,18.8000123017583,18.726828994953298,0.001,166.80906239999968
27,18.628523407593246,16.182111152917464,0.001,166.09905750000144
28,18.276268020789484,15.21091303370153,0.001,166.4560865000003
29,18.746449987602627,15.344129266826258,0.001,167.29978130000018
30,18.23026676636097,16.392834040559936,0.001,166.4893902999993
31,18.201986591776542,16.789260524907935,0.001,166.77471100000002
32,17.92775595592073,14.747245701897455,0.001,166.03006600000117
33,17.702793169514205,14.768211235305728,0.001,165.93471859999954
34,17.897160574867705,14.534530452960023,0.001,165.44379819999995
35,17.23028721553235,16.663553504612775,0.001,167.06701470000007
36,17.45843554951928,15.904858430303282,0.001,167.10339959999874
37,17.416343052623684,14.648636305688548,0.001,166.12801150000087
38,17.01978587838244,15.01624355412725,0.001,166.3216539999994
39,16.98394494500042,13.83448763247741,0.001,166.5135592000006
40,16.909313648939133,14.360887775770609,0.001,166.31037370000013
41,17.091950049873226,14.989974382011042,0.00098,166.18430929999886
42,16.451300810092736,14.315725461726249,0.0009603999999999999,166.39219080000112
43,15.779928360473026,13.608206823568795,0.0009411919999999999,166.10228800000004
44,15.867933588382627,13.381483007879819,0.0009223681599999998,166.50731389999964
45,15.708169376012707,13.071026344768336,0.0009039207967999998,166.54324550000092
46,15.720353585013674,13.999271455358286,0.0008858423808639998,166.81375350000053
47,15.263612538625386,13.041424434463222,0.0008681255332467198,166.83598889999848
48,15.17493523713971,13.669663283611103,0.0008507630225817853,166.2163236000015
49,14.49818484187126,11.856452901659958,0.0008337477621301496,166.68738060000032
50,14.197038934201249,13.093681223022328,0.0008170728068875465,167.29574339999817
51,14.785951754229128,12.833600781002982,0.0008007313507497956,167.02352249999967
52,14.258673874861445,13.19020523238665,0.0007847167237347997,166.21564719999878
53,13.909660446151229,11.548884535249657,0.0007690223892601037,166.25304460000189
54,13.879202364397443,11.696842647219578,0.0007536419414749016,166.77047909999965
55,13.720123221140263,11.670873474821866,0.0007385691026454036,165.8222014999992
56,13.335935154138518,12.34465333603847,0.0007237977205924955,165.63184349999938
57,13.269768945737319,10.906698557312026,0.0007093217661806456,165.4362977000019
58,13.264551436211452,11.553833164382464,0.0006951353308570327,166.04694759999984
59,12.87913201938976,11.04935153769895,0.000681232624239892,165.47185559999707
60,12.701235165576305,10.774931467372634,0.0006676079717550942,166.17036169999847
