epoch,train_loss,valid_loss,learning_rate,time_taken
1,8.464021983682127,10.364597934243925,0.001,234.7111656665802
2,8.324168178469195,10.367200013767977,0.001,235.3925383090973
3,8.819338562890437,10.771401905692747,0.001,231.9365885257721
4,8.572194857388968,10.284875746799692,0.001,230.66345810890198
5,8.111932264359757,10.466553788548628,0.001,229.7897801399231
6,8.195978554035161,10.494007413162779,0.001,239.39327931404114
7,8.4065800437512,11.320614058875183,0.001,234.51044750213623
8,8.271704458247687,10.278995858714184,0.001,232.89977741241455
9,7.803849338969937,11.13326435131877,0.001,233.6777582168579
10,7.981900820946605,10.315855794957935,0.001,233.36718034744263
11,8.395626838519819,9.98313554733858,0.001,233.36480164527893
12,7.555402400418436,10.348100424882007,0.001,234.12696599960327
13,8.014173289499455,10.80316595646298,0.001,232.916809797287
14,8.01006527185173,10.729683469763787,0.001,232.68415474891663
15,8.33625558274869,10.820020993194237,0.001,231.15699410438538
16,7.839447829787094,10.177069027862206,0.001,231.44118285179138
17,8.278786724007222,10.300864241048359,0.001,230.98720169067383
18,7.740789390858295,10.159662771652632,0.001,233.6427354812622
19,7.853386668027716,10.300621130541302,0.001,241.24759769439697
20,7.724724629945482,10.720585541874838,0.001,232.4799644947052
21,7.537345322681767,10.099319758436605,0.001,228.60267663002014
22,7.850615193906051,10.377586464176263,0.001,229.15135312080383
23,8.038366209655376,11.21085280260163,0.001,229.58664774894714
24,7.626495767521328,9.92989441418327,0.001,228.6941430568695
25,7.2593891736276825,10.65932751236475,0.001,229.30618166923523
26,7.729255292288529,10.289217233657837,0.001,229.78150963783264
27,7.574996694671987,10.57578501573058,0.001,229.07900738716125
28,7.625758904732951,9.875499469816951,0.001,229.39194679260254
29,7.668632968360946,9.750566362800084,0.001,228.5327169895172
30,7.688191219083744,9.922152904651625,0.001,228.21645617485046
31,7.14864870435966,10.52939183722697,0.001,229.96626687049866
32,8.029582602130102,10.09634718445919,0.001,230.22394490242004
33,7.38626471145145,9.751511705830493,0.001,230.19621348381042
34,7.865548273000752,9.235356084434441,0.001,230.64180517196655
35,7.626074088217068,10.069069988524433,0.001,231.19234991073608
36,7.708425622225304,9.639685463477678,0.001,231.29566860198975
37,7.232074821779627,10.813134570292828,0.001,230.7404124736786
38,7.5583355456557255,9.782445670243336,0.001,230.08894395828247
39,7.521885172622727,9.6858168022515,0.001,230.48196291923523
40,7.440990707369371,10.12792795442145,0.001,230.6265013217926
41,7.460576997750546,10.699337938441289,0.00098,230.57369589805603
42,7.3533970630319665,10.237386936564082,0.0009603999999999999,231.6131899356842
43,7.16791095427557,9.582089185714722,0.0009411919999999999,232.07002234458923
44,7.448444913363712,9.758537526622481,0.0009223681599999998,232.1641275882721
45,6.785389253916465,9.547046529872535,0.0009039207967999998,231.50208115577698
46,7.05550096404062,9.387905165753557,0.0008858423808639998,231.23329615592957
47,7.133642906033556,9.6520045744464,0.0008681255332467198,231.05910086631775
48,7.052794138736795,9.25490474914756,0.0008507630225817853,231.10526371002197
49,7.039540963190468,9.628510066746596,0.0008337477621301496,232.7018928527832
50,6.712634712805915,9.958826843398569,0.0008170728068875465,232.1277358531952
51,6.9210042335404305,9.638272230935204,0.0008007313507497956,232.77528953552246
52,7.072796570018175,9.059856952038581,0.0007847167237347997,234.9748227596283
53,6.763051030233953,10.00916249014337,0.0007690223892601037,234.23249888420105
54,6.821860466458348,9.750123036816516,0.0007536419414749016,234.3186914920807
55,6.8583539297471185,9.524918540176255,0.0007385691026454036,234.30390214920044
56,7.0298593335482185,9.661676013416239,0.0007237977205924955,234.02596187591553
57,6.787924945192259,9.118880432282863,0.0007093217661806456,234.95118069648743
58,6.693981857114322,9.406818332158931,0.0006951353308570327,234.49614906311035
59,6.599213486387956,9.340290469973612,0.000681232624239892,233.80615186691284
60,6.761010906763872,9.721910457440021,0.0006676079717550942,233.49782824516296
61,6.675046954743477,9.176464352372516,0.0006542558123199924,234.8681902885437
62,6.707254653589924,9.769502636563082,0.0006411706960735925,234.76016211509705
63,6.433028438787032,9.14060174242798,0.0006283472821521206,234.2966022491455
64,6.373879030702285,9.563195801636564,0.0006157803365090782,234.40696382522583
65,6.9232543143001735,8.943954597139573,0.0006034647297788967,234.04629349708557
66,6.692208826589607,9.089392690915163,0.0005913954351833187,235.4697289466858
67,6.149216645733727,9.01382254057401,0.0005795675264796523,236.72408390045166
68,5.944481019231822,9.137824681842273,0.0005679761759500593,234.90086436271667
69,6.316470014604355,9.029610135630108,0.0005566166524310581,234.41763281822205
70,6.598427084401758,9.14144795518285,0.0005454843193824369,234.22380900382996
71,6.554804021040878,9.229861070222384,0.0005345746329947881,234.00666546821594
72,6.400352555579217,9.547237922257906,0.0005238831403348923,234.40598130226135
73,6.005009376489393,9.614402253531555,0.0005134054775281945,235.6399028301239
74,6.383763278028727,9.179687109763313,0.0005031373679776305,234.999338388443
75,5.997604119428467,9.219608029977088,0.0004930746206180779,235.80262732505798
76,6.311351827379034,8.941623610765944,0.00048321312820571636,235.63944602012634
77,6.088895438174276,9.059263407916767,0.00047354886564160203,235.64282727241516
78,6.169166516996258,9.298079710904792,0.00046407788832877,235.19428181648254
79,6.207924432843823,9.249555330105427,0.0004547963305621946,234.32613825798035
