epoch,train_loss,valid_loss,learning_rate,time_taken
1,68.43341321362524,43.68465811417473,0.001,679.8957302999997
2,42.7097900823488,36.862927665957436,0.001,621.7888136000001
3,36.26494654794495,31.12618876435297,0.001,590.7321572000001
4,33.82346580837448,27.398927049385406,0.001,609.9792146999998
5,31.676882745370193,29.065668319799162,0.001,624.0508162000006
6,30.817145930809424,24.22258632480959,0.001,624.2393711000004
7,30.174645636869005,26.00760780658001,0.001,622.0948683999995
8,29.80093215720712,25.57746700844473,0.001,622.5599482000007
9,28.8519943515263,23.269715333313126,0.001,621.8555871999997
10,28.189235288568405,22.028025955893533,0.001,626.7816146000005
11,27.824700048056716,22.20908322312873,0.001,725.1930182999986
12,27.38298235711536,25.533503859136577,0.001,659.8914928999984
13,27.067105320911217,23.56258459456658,0.001,617.8379616000002
14,27.050883139606047,20.706279816051204,0.001,616.1172169999991
15,26.001393151908484,29.454095642087175,0.001,634.9485690999991
16,25.466879960632486,21.7507234512508,0.001,638.4442130000007
17,25.088679996301373,28.534942833719775,0.001,616.8430499999995
18,25.06669286741125,21.377319351554863,0.001,598.9285476000005
19,24.707510141243155,21.718563823709964,0.001,616.5442831
20,25.040854141024504,20.554326054763973,0.001,626.3526956000005
21,24.093383173466705,21.83757577171072,0.001,620.2126768000016
22,24.008485415078276,22.19907128218452,0.001,626.7498735000008
23,24.17406312427928,19.83888357296426,0.001,626.4190500000004
24,24.38975044638686,19.134966057341508,0.001,617.7632508999995
25,23.50369812254846,19.980040166848628,0.001,625.314687099999
26,23.579741025029417,20.464774733411893,0.001,625.3909318000005
27,23.67441899381538,19.523929342954336,0.001,619.055787199999
28,23.07196968612978,20.979000099173675,0.001,628.8216085999993
29,23.00679627664804,20.877514308487985,0.001,631.1168128999998
30,22.366988586024114,20.111403879972467,0.001,633.568950300003
31,22.50822087695024,18.945488984819555,0.001,639.1636144000004
32,22.160833129870415,21.450995034666413,0.001,604.6209320000016
33,22.498844230915868,19.464365643148827,0.001,602.5825896999995
34,22.318607815414254,18.732435865264264,0.001,635.2615662000026
35,21.815081270681528,20.552253774099132,0.001,605.5185610000008
36,21.824102459299667,24.75084391088893,0.001,606.3808996999978
37,21.55479472607369,18.370174406039844,0.001,624.1547637999975
38,21.283046811075547,18.733025061794937,0.001,626.9927005999998
39,21.127820687463036,18.31384346126898,0.001,626.384594799998
40,20.582916744875494,20.07058437316706,0.001,628.6992877000012
41,20.52682555858436,20.67378339420342,0.00098,623.6830193999995
42,20.37641694416072,18.39127472335776,0.0009603999999999999,622.7030550000018
43,20.049766721743598,20.531352528625153,0.0009411919999999999,624.0624657000008
44,19.609586762928092,26.11037208090527,0.0009223681599999998,693.224624800001
45,19.079489163646496,17.091071998105114,0.0009039207967999998,755.0893890999978
