epoch,train_loss,valid_loss,learning_rate,time_taken
1,50.79675473770289,39.81704230837702,0.001,489.6487502999953
2,34.52663682979723,25.616614004719263,0.001,430.8880022999947
3,29.84060390778165,24.385394467231613,0.001,329.2636274999968
4,27.3036155530586,25.3952990287948,0.001,339.63673339999514
5,25.93560306918776,22.043052823173714,0.001,345.61789940000745
6,25.01261674340522,21.619306056650046,0.001,321.98828279999725
7,25.386155031965057,21.823544677600474,0.001,322.36615170000005
8,24.311600351197352,21.96748770357713,0.001,321.9677626000048
9,23.712637435299794,19.799281494080983,0.001,322.2242758999928
10,22.84589445374827,22.827144312463897,0.001,322.27593600000546
11,23.160935243213558,19.467378929449254,0.001,322.0306222999934
12,22.62736889744632,19.33259516132163,0.001,322.9873743999924
13,21.980855474520915,19.036475342376914,0.001,325.19659310000134
14,21.701837274048053,20.744477733229655,0.001,326.6308407999895
15,21.733930487378075,18.420364248394453,0.001,318.5362249000027
16,20.25442571904559,22.12807656240785,0.001,317.7098568000074
17,21.064452691814964,25.96264615766407,0.001,318.1155487000069
18,20.785731916381565,20.047044812500076,0.001,318.13061229999585
19,20.438378839216508,18.939009007758557,0.001,318.251442599998
20,20.07205729072001,19.580468198699062,0.001,333.8447259999957
21,19.39613853333313,17.499237320746182,0.001,318.29724280000664
22,19.40216981932362,17.294992580215013,0.001,318.7947504999902
23,19.38651963168587,18.677324193376183,0.001,318.04613780000363
24,19.43435627074048,18.498506673964016,0.001,316.770445999995
25,18.98931060872963,17.69085328654597,0.001,316.5255266000022
26,18.593462606020505,17.543865715028463,0.001,316.4569990000018
27,18.044697219854648,16.574659844471004,0.001,316.37280440000177
28,17.95969509866983,16.108328395354683,0.001,316.7500882000022
29,18.22681298413801,15.913926539649122,0.001,317.3910659000103
30,17.230914773201444,17.771465016902408,0.001,316.618724800006
31,17.865422060370303,18.30527385935909,0.001,317.25077460000466
32,17.521126375125064,15.70293740682409,0.001,316.9943048000132
33,17.214395503447804,16.053155722572786,0.001,317.6489056999999
34,17.427375581845272,14.935468332669547,0.001,316.83697140000004
35,17.622970852506032,15.117935777149048,0.001,317.0307171000022
36,17.017469506776845,16.50904479909718,0.001,316.4131146
