,wind.speed,date
150,4.89667227,2/20/15 16:00
151,4.324404242,2/20/15 16:30
152,3.5833708160000004,2/20/15 17:00
153,3.9663233780000002,2/20/15 17:30
154,3.9649708169999998,2/20/15 18:00
155,4.0570751419999995,2/20/15 18:30
156,3.44644468,2/20/15 19:00
157,3.251831901,2/20/15 19:30
158,3.1162549139999998,2/20/15 20:00
159,3.1587615280000003,2/20/15 20:30
160,3.389133078,2/20/15 21:00
161,3.3931657339999997,2/20/15 21:30
162,2.805522409,2/20/15 22:00
163,3.195381157,2/20/15 22:30
164,2.683325228,2/20/15 23:00
165,2.884148109,2/20/15 23:30
166,3.0738001639999997,2/21/15 0:00
167,3.406910095,2/21/15 0:30
168,3.657376778,2/21/15 1:00
169,2.912089224,2/21/15 1:30
170,3.2322754810000003,2/21/15 2:00
171,3.1639615880000003,2/21/15 2:30
172,3.0497168169999997,2/21/15 3:00
173,3.3767112189999997,2/21/15 3:30
174,3.194124902,2/21/15 4:00
175,2.841940063,2/21/15 4:30
176,2.885280525,2/21/15 5:00
177,1.9552038409999999,2/21/15 5:30
178,1.8246331690000002,2/21/15 6:00
179,1.702870027,2/21/15 6:30
180,2.119407317,2/21/15 7:00
181,2.222908757,2/21/15 7:30
182,2.033315265,2/21/15 8:00
183,2.8130124089999997,2/21/15 8:30
184,3.5465025789999998,2/21/15 9:00
185,3.363606438,2/21/15 9:30
186,3.227405655,2/21/15 10:00
187,3.407233422,2/21/15 10:30
188,3.615799973,2/21/15 11:00
189,3.06395955,2/21/15 11:30
190,3.765238384,2/21/15 12:00
191,3.97219069,2/21/15 12:30
192,3.8360405010000003,2/21/15 13:00
193,3.8324917139999997,2/21/15 13:30
194,4.166729752,2/21/15 14:00
195,4.4078419239999995,2/21/15 14:30
196,4.400732588,2/21/15 15:00
197,4.7126576060000005,2/21/15 15:30
198,4.950121698,2/21/15 16:00
199,4.294974732,2/21/15 16:30
200,4.014456752,2/21/15 17:00
201,3.895039432,2/21/15 17:30
202,4.401751063,2/21/15 18:00
203,4.268251647,2/21/15 18:30
204,3.594846819,2/21/15 19:00
205,3.925105647,2/21/15 19:30
206,3.65566695,2/21/15 20:00
207,3.9368146489999996,2/21/15 20:30
208,3.95240363,2/21/15 21:00
209,3.2892240669999997,2/21/15 21:30
210,3.4698960210000003,2/21/15 22:00
211,3.8231668080000003,2/21/15 22:30
212,3.845726687,2/21/15 23:00
213,3.896211417,2/21/15 23:30
214,3.603485219,2/22/15 0:00
215,3.9464336330000003,2/22/15 0:30
216,4.093660623,2/22/15 1:00
217,3.9481707260000003,2/22/15 1:30
218,4.044529453,2/22/15 2:00
219,3.7793051760000003,2/22/15 2:30
220,4.37041041,2/22/15 3:00
221,3.6089147969999997,2/22/15 3:30
222,3.5419895739999996,2/22/15 4:00
223,3.555291366,2/22/15 4:30
224,3.5671126,2/22/15 5:00
225,3.360436972,2/22/15 5:30
226,3.1478020680000003,2/22/15 6:00
227,3.409180407,2/22/15 6:30
228,3.339450722,2/22/15 7:00
229,3.322932174,2/22/15 7:30
230,3.2974891110000004,2/22/15 8:00
231,3.9898964869999998,2/22/15 8:30
232,4.764765842,2/22/15 9:00
233,4.659987209,2/22/15 9:30
234,4.358887623,2/22/15 10:00
235,4.37781465,2/22/15 10:30
236,4.183753265,2/22/15 11:00
237,4.641177735,2/22/15 11:30
238,4.823089372,2/22/15 12:00
239,4.11979435,2/22/15 12:30
240,4.423765174,2/22/15 13:00
241,4.193578034,2/22/15 13:30
242,5.189625627,2/22/15 14:00
243,5.349162939,2/22/15 14:30
244,4.712085424,2/22/15 15:00
245,4.805745073,2/22/15 15:30
246,5.228382377,2/22/15 16:00
247,4.916651331000001,2/22/15 16:30
248,4.49824872,2/22/15 17:00
249,4.748768499,2/22/15 17:30
250,4.60283079,2/22/15 18:00
251,4.566723146,2/22/15 18:30
252,4.463511777,2/22/15 19:00
253,4.386421251,2/22/15 19:30
254,4.758305668999999,2/22/15 20:00
255,4.589367675,2/22/15 20:30
256,4.285646287,2/22/15 21:00
257,4.506208417,2/22/15 21:30
258,4.7304647939999995,2/22/15 22:00
259,4.286855968,2/22/15 22:30
260,4.607500371,2/22/15 23:00
261,4.521477958999999,2/22/15 23:30
262,4.879701287,2/23/15 0:00
263,5.13169693,2/23/15 0:30
264,5.6148894789999995,2/23/15 1:00
265,4.7921521060000005,2/23/15 1:30
266,4.070776496000001,2/23/15 2:00
267,3.837323599,2/23/15 2:30
268,3.387917308,2/23/15 3:00
269,2.960294135,2/23/15 3:30
270,2.8103839539999997,2/23/15 4:00
271,2.60844945,2/23/15 4:30
272,2.5777456780000003,2/23/15 5:00
273,3.094615291,2/23/15 5:30
274,3.440595085,2/23/15 6:00
275,3.1498735210000004,2/23/15 6:30
276,3.0818285189999997,2/23/15 7:00
277,3.3635753530000003,2/23/15 7:30
278,3.455575335,2/23/15 8:00
279,4.111516342,2/23/15 8:30
280,4.27874856,2/23/15 9:00
281,4.826670095,2/23/15 9:30
282,4.003099827,2/23/15 10:00
283,4.205816867,2/23/15 10:30
284,4.044691127,2/23/15 11:00
285,4.365049348,2/23/15 11:30
286,4.774545601,2/23/15 12:00
287,4.610945699,2/23/15 12:30
288,4.9354518039999995,2/23/15 13:00
289,4.840140173,2/23/15 13:30
290,5.3104993480000005,2/23/15 14:00
291,5.619365485,2/23/15 14:30
292,5.651576707,2/23/15 15:00
293,5.269503939,2/23/15 15:30
294,3.9701564639999996,2/23/15 16:00
295,4.698126043,2/23/15 16:30
296,4.377363206,2/23/15 17:00
297,5.204553553,2/23/15 17:30
298,4.953797976000001,2/23/15 18:00
299,4.646552091,2/23/15 18:30
300,4.0686454969999994,2/23/15 19:00
301,4.282720128,2/23/15 19:30
302,4.184938691,2/23/15 20:00
303,3.4959279519999997,2/23/15 20:30
304,3.5617818889999997,2/23/15 21:00
305,4.034010985,2/23/15 21:30
306,3.164120193,2/23/15 22:00
307,3.456234067,2/23/15 22:30
308,4.182696136000001,2/23/15 23:00
309,3.83319657,2/23/15 23:30
310,4.1682126539999995,2/24/15 0:00
311,4.322701031,2/24/15 0:30
312,4.418441895,2/24/15 1:00
313,4.430332656,2/24/15 1:30
314,4.599956446,2/24/15 2:00
315,4.217008183,2/24/15 2:30
316,4.285554015,2/24/15 3:00
317,4.3627283939999995,2/24/15 3:30
318,3.738779896,2/24/15 4:00
319,3.582264175,2/24/15 4:30
320,3.3264136110000004,2/24/15 5:00
321,3.8019564389999996,2/24/15 5:30
322,3.694038784,2/24/15 6:00
323,3.55483363,2/24/15 6:30
324,4.100995753,2/24/15 7:00
325,3.9246363580000003,2/24/15 7:30
326,4.231502408,2/24/15 8:00
327,4.510241542,2/24/15 8:30
328,4.214691271,2/24/15 9:00
329,4.226729281,2/24/15 9:30
330,4.691505094,2/24/15 10:00
331,4.566529213,2/24/15 10:30
332,4.781876293,2/24/15 11:00
333,5.089009053,2/24/15 11:30
334,4.540649255,2/24/15 12:00
335,5.413429118,2/24/15 12:30
336,4.7422636769999995,2/24/15 13:00
337,4.783682283,2/24/15 13:30
338,3.6584819189999997,2/24/15 14:00
339,4.889902264,2/24/15 14:30
340,4.933640018,2/24/15 15:00
341,4.142260149,2/24/15 15:30
342,4.804129939,2/24/15 16:00
343,3.550073285,2/24/15 16:30
344,4.352446077,2/24/15 17:00
345,4.168134305,2/24/15 17:30
346,4.046786241,2/24/15 18:00
347,4.11294062,2/24/15 18:30
348,3.72014278,2/24/15 19:00
349,3.608678794,2/24/15 19:30
350,4.073301916,2/24/15 20:00
351,3.9360649469999998,2/24/15 20:30
352,3.954584077,2/24/15 21:00
353,4.03497057,2/24/15 21:30
354,3.7897724139999998,2/24/15 22:00
355,3.567396573,2/24/15 22:30
356,3.214779902,2/24/15 23:00
357,3.552807252,2/24/15 23:30
358,3.7715617160000003,2/25/15 0:00
359,2.996753314,2/25/15 0:30
360,2.986132506,2/25/15 1:00
361,2.551494537,2/25/15 1:30
362,2.67102929,2/25/15 2:00
363,2.780157272,2/25/15 2:30
364,3.209267272,2/25/15 3:00
365,3.190729377,2/25/15 3:30
366,3.014155213,2/25/15 4:00
367,3.1931130160000003,2/25/15 4:30
368,3.0828587439999997,2/25/15 5:00
369,3.0234562030000003,2/25/15 5:30
370,3.086855419,2/25/15 6:00
371,3.096730975,2/25/15 6:30
372,2.763046262,2/25/15 7:00
373,2.711671558,2/25/15 7:30
374,2.90359729,2/25/15 8:00
375,2.646992924,2/25/15 8:30
376,3.275742553,2/25/15 9:00
377,3.875422871,2/25/15 9:30
378,3.447660148,2/25/15 10:00
379,3.5383974310000004,2/25/15 10:30
380,3.82923239,2/25/15 11:00
381,3.5991480910000004,2/25/15 11:30
382,4.665379481,2/25/15 12:00
383,4.7741343160000005,2/25/15 12:30
384,4.510635211,2/25/15 13:00
385,5.073934939,2/25/15 13:30
386,4.615088655,2/25/15 14:00
387,4.53341033,2/25/15 14:30
388,4.789232032,2/25/15 15:00
389,4.575097241,2/25/15 15:30
390,4.33031861,2/25/15 16:00
391,4.275157175,2/25/15 16:30
392,3.743196503,2/25/15 17:00
393,3.8940553419999997,2/25/15 17:30
394,3.515699835,2/25/15 18:00
395,3.638834669,2/25/15 18:30
396,3.291949125,2/25/15 19:00
397,3.6632983739999996,2/25/15 19:30
398,3.4728974360000002,2/25/15 20:00
399,3.655043677,2/25/15 20:30
400,3.2872309110000004,2/25/15 21:00
401,3.740277126,2/25/15 21:30
402,3.623409318,2/25/15 22:00
403,3.587802453,2/25/15 22:30
404,3.76408141,2/25/15 23:00
405,2.758317292,2/25/15 23:30
406,2.564584452,2/26/15 0:00
407,2.483265436,2/26/15 0:30
408,2.392657575,2/26/15 1:00
409,2.487233388,2/26/15 1:30
410,2.602104315,2/26/15 2:00
411,2.714165598,2/26/15 2:30
412,2.7801942339999997,2/26/15 3:00
413,2.610846125,2/26/15 3:30
414,2.710851715,2/26/15 4:00
415,2.404087942,2/26/15 4:30
416,2.249016439,2/26/15 5:00
417,2.222019593,2/26/15 5:30
418,2.296415478,2/26/15 6:00
419,2.205707692,2/26/15 6:30
420,2.312941967,2/26/15 7:00
421,2.545930903,2/26/15 7:30
422,2.351516379,2/26/15 8:00
423,2.174577705,2/26/15 8:30
424,2.028037522,2/26/15 9:00
425,1.89157344,2/26/15 9:30
426,2.493045361,2/26/15 10:00
427,3.702902261,2/26/15 10:30
428,4.003569683,2/26/15 11:00
429,3.882585974,2/26/15 11:30
430,4.180600426,2/26/15 12:00
431,4.673351362,2/26/15 12:30
432,5.552013521,2/26/15 13:00
433,5.285524698,2/26/15 13:30
434,4.845937905,2/26/15 14:00
435,3.901888935,2/26/15 14:30
436,4.4881345989999994,2/26/15 15:00
437,4.440611301000001,2/26/15 15:30
438,4.5454017769999995,2/26/15 16:00
439,4.501654296,2/26/15 16:30
440,4.585267662,2/26/15 17:00
441,4.171289221,2/26/15 17:30
442,3.9379504219999997,2/26/15 18:00
443,3.6894699739999997,2/26/15 18:30
444,3.656966065,2/26/15 19:00
445,3.8171870080000003,2/26/15 19:30
446,3.7969279210000004,2/26/15 20:00
447,3.919256035,2/26/15 20:30
448,4.252078707,2/26/15 21:00
449,4.020748297,2/26/15 21:30
450,3.821704377,2/26/15 22:00
451,3.470609283,2/26/15 22:30
452,3.302557844,2/26/15 23:00
453,3.3378066960000004,2/26/15 23:30
454,3.646488285,2/27/15 0:00
455,3.641962982,2/27/15 0:30
456,3.864804701,2/27/15 1:00
457,3.998841768,2/27/15 1:30
458,3.937557785,2/27/15 2:00
459,3.99490505,2/27/15 2:30
460,3.820068272,2/27/15 3:00
461,3.778774107,2/27/15 3:30
462,3.52707306,2/27/15 4:00
463,3.8122962339999997,2/27/15 4:30
464,3.737036635,2/27/15 5:00
465,3.3394831810000003,2/27/15 5:30
466,2.58239648,2/27/15 6:00
467,2.646639459,2/27/15 6:30
468,2.267283325,2/27/15 7:00
469,2.676391766,2/27/15 7:30
470,3.2352532569999997,2/27/15 8:00
471,2.909093855,2/27/15 8:30
472,3.6506487869999997,2/27/15 9:00
473,3.316302112,2/27/15 9:30
474,2.9512726889999996,2/27/15 10:00
475,3.645203146,2/27/15 10:30
476,4.208044467,2/27/15 11:00
477,3.7781463239999997,2/27/15 11:30
478,3.925394973,2/27/15 12:00
479,3.972547422,2/27/15 12:30
480,4.549205306,2/27/15 13:00
481,4.871419801,2/27/15 13:30
482,4.778974548,2/27/15 14:00
483,5.247874256,2/27/15 14:30
484,4.897385159,2/27/15 15:00
485,4.513514208,2/27/15 15:30
486,3.852077742,2/27/15 16:00
487,4.812461366,2/27/15 16:30
488,4.599180726,2/27/15 17:00
489,4.627563997,2/27/15 17:30
490,4.321557945,2/27/15 18:00
491,3.831726343,2/27/15 18:30
492,3.535421135,2/27/15 19:00
493,4.168743854,2/27/15 19:30
494,3.972635117,2/27/15 20:00
495,4.551768448,2/27/15 20:30
496,3.9661511760000003,2/27/15 21:00
497,3.979857542,2/27/15 21:30
498,3.6558245489999996,2/27/15 22:00
499,3.56897781,2/27/15 22:30
500,3.769577429,2/27/15 23:00
501,3.6582787339999996,2/27/15 23:30
502,3.12744653,2/28/15 0:00
503,3.3352568469999997,2/28/15 0:30
504,2.7808921719999997,2/28/15 1:00
505,3.532613475,2/28/15 1:30
506,3.9671334989999996,2/28/15 2:00
507,4.4142459789999995,2/28/15 2:30
508,4.313998958,2/28/15 3:00
509,3.789624822,2/28/15 3:30
510,3.330491836,2/28/15 4:00
511,3.707669758,2/28/15 4:30
512,4.235073946,2/28/15 5:00
513,4.638934658999999,2/28/15 5:30
514,4.591722814,2/28/15 6:00
515,4.328978089,2/28/15 6:30
516,3.9047716969999997,2/28/15 7:00
517,3.8328342089999996,2/28/15 7:30
518,3.867625845,2/28/15 8:00
519,4.043321148,2/28/15 8:30
520,4.800811705,2/28/15 9:00
521,4.001495463,2/28/15 9:30
522,4.931757652,2/28/15 10:00
523,4.753104594,2/28/15 10:30
524,5.169306655,2/28/15 11:00
525,5.3459659,2/28/15 11:30
526,5.191509666,2/28/15 12:00
527,5.208348346,2/28/15 12:30
528,5.873547932999999,2/28/15 13:00
529,5.6909081839999995,2/28/15 13:30
530,5.452165912000001,2/28/15 14:00
531,5.194283861000001,2/28/15 14:30
532,5.369668605,2/28/15 15:00
533,5.673782188,2/28/15 15:30
534,4.950828167,2/28/15 16:00
535,4.851994599999999,2/28/15 16:30
536,4.704596432,2/28/15 17:00
537,5.002746134,2/28/15 17:30
538,4.313385181,2/28/15 18:00
539,4.77234064,2/28/15 18:30
540,4.234824705,2/28/15 19:00
541,4.102421054,2/28/15 19:30
542,4.093076116000001,2/28/15 20:00
543,3.5218349860000004,2/28/15 20:30
544,3.82150212,2/28/15 21:00
545,3.968899268,2/28/15 21:30
546,3.917946465,2/28/15 22:00
547,3.62682319,2/28/15 22:30
548,3.93909251,2/28/15 23:00
549,3.331060767,2/28/15 23:30
550,3.693583395,3/1/15 0:00
551,3.920601794,3/1/15 0:30
552,4.293756781,3/1/15 1:00
553,4.561382307,3/1/15 1:30
554,4.390673596,3/1/15 2:00
555,4.140633665,3/1/15 2:30
556,3.85524411,3/1/15 3:00
557,4.308958471,3/1/15 3:30
558,4.311796844,3/1/15 4:00
559,3.784915525,3/1/15 4:30
560,3.872265947,3/1/15 5:00
561,3.86514529,3/1/15 5:30
562,3.2636189630000003,3/1/15 6:00
563,2.7035433939999995,3/1/15 6:30
564,2.648875167,3/1/15 7:00
565,2.374218391,3/1/15 7:30
566,1.608844561,3/1/15 8:00
567,1.8448781159999998,3/1/15 8:30
568,2.558799203,3/1/15 9:00
569,2.802906877,3/1/15 9:30
570,2.3737560319999997,3/1/15 10:00
571,2.352924452,3/1/15 10:30
572,2.439631055,3/1/15 11:00
573,2.914659705,3/1/15 11:30
574,2.748746699,3/1/15 12:00
575,3.4540359019999998,3/1/15 12:30
576,3.7886905260000003,3/1/15 13:00
577,3.774141314,3/1/15 13:30
578,4.28088932,3/1/15 14:00
579,4.204254338999999,3/1/15 14:30
580,4.132595278999999,3/1/15 15:00
581,4.720881554,3/1/15 15:30
582,4.762892247,3/1/15 16:00
583,4.431862695,3/1/15 16:30
584,4.79582586,3/1/15 17:00
585,4.025340695,3/1/15 17:30
586,3.595529847,3/1/15 18:00
587,3.9554938539999998,3/1/15 18:30
588,3.941613027,3/1/15 19:00
589,3.433632665,3/1/15 19:30
590,4.261357051,3/1/15 20:00
591,4.235828851,3/1/15 20:30
592,4.390811236,3/1/15 21:00
593,4.423008981000001,3/1/15 21:30
594,4.085666221,3/1/15 22:00
595,3.865254778,3/1/15 22:30
596,3.570239709,3/1/15 23:00
597,3.692856595,3/1/15 23:30
598,4.184612098000001,3/2/15 0:00
599,4.246709395,3/2/15 0:30
600,4.743519011,3/2/15 1:00
601,4.307604973,3/2/15 1:30
602,4.385291048,3/2/15 2:00
603,4.267901792,3/2/15 2:30
604,4.297938959,3/2/15 3:00
605,3.9910581869999997,3/2/15 3:30
606,4.88745585,3/2/15 4:00
607,5.237381258,3/2/15 4:30
608,4.86010485,3/2/15 5:00
609,4.8057759330000005,3/2/15 5:30
610,4.184045907,3/2/15 6:00
611,3.847482537,3/2/15 6:30
612,4.036444526,3/2/15 7:00
613,4.411047931000001,3/2/15 7:30
614,4.717743163,3/2/15 8:00
615,4.3620877689999995,3/2/15 8:30
616,4.897296608,3/2/15 9:00
617,4.893157652,3/2/15 9:30
618,5.381041174,3/2/15 10:00
619,5.425651102000001,3/2/15 10:30
620,4.887537603,3/2/15 11:00
621,4.64722436,3/2/15 11:30
622,4.90096151,3/2/15 12:00
623,4.691087484,3/2/15 12:30
624,5.367099646000001,3/2/15 13:00
625,4.7169429339999995,3/2/15 13:30
626,3.6501369560000003,3/2/15 14:00
627,4.141255718,3/2/15 14:30
628,4.78502437,3/2/15 15:00
629,4.626043337,3/2/15 15:30
630,5.460299336,3/2/15 16:00
631,4.856026272,3/2/15 16:30
632,4.898210969,3/2/15 17:00
633,5.439141669,3/2/15 17:30
634,5.440288426,3/2/15 18:00
635,5.236927928,3/2/15 18:30
636,4.410653827,3/2/15 19:00
637,3.821127812,3/2/15 19:30
638,4.188022013,3/2/15 20:00
639,3.7598310980000003,3/2/15 20:30
640,4.1642487169999995,3/2/15 21:00
641,4.026185605,3/2/15 21:30
642,3.1293400719999998,3/2/15 22:00
643,3.28421645,3/2/15 22:30
644,3.1499758989999997,3/2/15 23:00
645,3.142402029,3/2/15 23:30
646,3.553105153,3/3/15 0:00
647,3.2144348739999997,3/3/15 0:30
648,4.04944904,3/3/15 1:00
649,4.172011517,3/3/15 1:30
650,3.8681402680000003,3/3/15 2:00
651,4.59283186,3/3/15 2:30
652,4.009707117,3/3/15 3:00
653,3.447873951,3/3/15 3:30
654,4.329325536,3/3/15 4:00
655,3.4292093039999996,3/3/15 4:30
656,3.7692042789999998,3/3/15 5:00
657,4.490672875,3/3/15 5:30
