,newFilename,wind.speed,wind.speed_DIFF,count,mean,std,min,25%,50%,75%,max
0,2/17/15 13:00,4.940689796,0.1197999163333332,15.0,4.820889879666667,0.7266994395953589,3.619494922,4.4672001925,4.862469237,5.3473623575,5.984355872
1,2/17/15 13:30,4.65326559,0.0814408461333338,15.0,4.734706436133334,0.5844324369847367,3.774141314,4.3333412419999995,4.783682283,5.0965771145000005,5.6909081839999995
2,2/17/15 14:00,4.291434027,0.31432947526666677,15.0,4.605763502266667,0.5915372161566186,3.6501369560000003,4.223809536,4.691078923,5.017781766000001,5.452165912000001
3,2/17/15 14:30,4.432785194,0.2731228995333348,15.0,4.705908093533335,0.5731496555542759,3.894718003,4.306048131499999,4.53341033,5.221079058500001,5.619365485
4,2/17/15 15:00,4.324117782,0.39446849033333375,15.0,4.718586272333334,0.7177608504379986,3.075700564,4.362425185,4.734095476,4.9155125885,6.224562142000001
5,2/17/15 15:30,4.686139441,0.08364511120000184,15.0,4.769784552200002,0.6600105508825488,3.163730932,4.5443057245,4.7126576060000005,5.037624506,5.853066564
6,2/17/15 16:00,4.367287286,0.31770979926666776,15.0,4.684997085266668,0.4310803874020997,3.852077742,4.456344531499999,4.791989892,4.923396984,5.460299336
7,2/17/15 16:30,3.949541827,0.5749261129333334,15.0,4.524467939933333,0.4257102392497529,3.550073285,4.309689487,4.501654296,4.832227982999999,5.267066175
8,2/17/15 17:00,4.03809865,0.28620825826666607,15.0,4.324306908266666,0.41627227070986145,3.5833708160000004,4.026277701,4.478684104,4.592224194,4.898210969
9,2/17/15 17:30,3.4255589,0.9222211333333337,15.0,4.347780033333334,0.5565607490020884,3.4255589,3.981200281,4.171289221,4.688166248,5.439141669
10,2/17/15 18:00,4.520248805,0.28326262819999926,15.0,4.2369861768,0.5177720931028966,3.515699835,3.9514606194999997,4.253127782,4.460999934,5.440288426
11,2/17/15 18:30,4.039225995,0.1262153493999998,15.0,4.1654413444,0.4884720335632292,3.59496168,3.7605981584999997,4.0570751419999995,4.516793334,5.236927928
12,2/17/15 19:00,4.09897053,0.22926075166666715,15.0,3.8697097783333327,0.3739587070261803,3.291949125,3.5899185465,3.72014278,4.1668976175,4.463511777
13,2/17/15 19:30,3.531888923,0.2677106373333329,15.0,3.799599560333333,0.40423469615533697,3.211767102,3.482760794,3.8171870080000003,4.135582454,4.414753349
14,2/17/15 20:00,3.8406728830000003,0.043533910733333236,15.0,3.8842067937333336,0.4474770820320613,3.1162549139999998,3.5642821930000004,3.972635117,4.186480352,4.758305668999999
15,2/17/15 20:30,3.860205229,0.007441252466665826,15.0,3.867646481466666,0.44141085861849033,3.1587615280000003,3.550565627,3.860205229,4.08632175,4.589367675
16,2/17/15 21:00,3.81481782,0.005286033400000445,15.0,3.8095317865999996,0.3898298086400555,3.0580641639999997,3.5314116425,3.82150212,4.0651999465,4.390811236
17,2/17/15 21:30,3.798477065,0.04588385280000029,15.0,3.8443609178000004,0.40596613223336836,3.082699087,3.56672143,3.979857542,4.030098295,4.506208417
18,2/17/15 22:00,3.589664501,0.003913441266666595,15.0,3.5857510597333335,0.4661470614745416,2.805522409,3.290953198,3.589664501,3.8057383954999997,4.7304647939999995
19,2/17/15 22:30,3.6026592330000002,0.027959879200000426,15.0,3.6306191122000007,0.2622652130201794,3.195381157,3.519002928,3.587802453,3.744247348,4.286855968
20,2/17/15 23:00,3.758318827,0.052082500199999604,15.0,3.7062363268000005,0.4752717524298476,2.683325228,3.4363987765,3.76408141,3.9476169885,4.607500371
21,2/17/15 23:30,3.686104067,0.11235653813333268,15.0,3.5737475288666674,0.4476221227396362,2.758317292,3.3344337315,3.6582787339999996,3.8623504674999998,4.521477958999999
22,2/18/15 0:00,3.59215096,0.12895819133333308,15.0,3.721109151333333,0.5490087142762301,2.564584452,3.5726280565,3.693583395,4.098267224500001,4.879701287
23,2/18/15 0:30,3.7239928260000004,0.04440277093333256,15.0,3.768395596933333,0.6430432888565333,2.483265436,3.371083471,3.74800999,4.1314509655,5.13169693
24,2/18/15 1:00,3.649098159,0.20039363286666667,15.0,3.8494917918666665,0.8118095086247231,2.392657575,3.440709591,3.864804701,4.3050178785,5.6148894789999995
25,2/18/15 1:30,3.427510789,0.3270698630000002,15.0,3.754580652,0.7234144922595739,2.487233388,3.2533914875,3.998841768,4.239808245,4.7921521060000005
26,2/18/15 2:00,3.7090896960000004,0.13761774986666664,15.0,3.846707445866667,0.5832719318093514,2.602104315,3.7886149820000004,4.018530826,4.120954179,4.599956446
27,2/18/15 2:30,3.731045883,0.1836186636666679,15.0,3.914664546666668,0.6086414605372142,2.714165598,3.7551755295,4.011603442,4.310429766,4.721921373
28,2/18/15 3:00,4.175254504,0.35624029606666685,15.0,3.819014207933333,0.5195492252112164,2.7801942339999997,3.464735901,3.85524411,4.291746486999999,4.37822384
29,2/18/15 3:30,3.4487366639999997,0.12738508693333328,15.0,3.576121750933333,0.5950172292778765,2.610846125,3.2139051365,3.4487366639999997,3.8903415045,4.719436808999999
30,2/18/15 4:00,3.3098926989999997,0.25965999080000035,15.0,3.5695526898,0.7053953851934769,2.710851715,3.0788981505,3.330491836,4.02528837,4.88745585
31,2/18/15 4:30,3.195739265,0.3025918910000005,15.0,3.4983311560000003,0.6997863987318894,2.404087942,3.1944261405,3.441784024,3.7462926415,5.237381258
32,2/18/15 5:00,3.200618317,0.3174986390000001,15.0,3.518116956,0.7025972705965055,2.249016439,3.1278674915,3.5671126,3.8207351129999996,4.86010485
